MSFT
VEEV
NDAQ
PPG
KR
XEL
RCL
IR
CTVA
HAL
CCEP
EXR
MLM
ED
VICI
ACGL
HUBS
COIN
ON
LYB
GFS
CDW
EFX
VMC
FICO
ADM
SMCI
ROK
DG
MDB
PEG
MPWR
BKR
ANSS
DLTR
HPQ
PWR
TTWO
RMD
GLW
WST
FANG
FTV
SNAP
XYL
DVN
CAH
KEYS
DD
NET
BF-B
DFS
CBRE
ZBH
HIG
MTD
EIX
SPLK
WEC
WTW
AVB
PINS
DAL
CPNG
CHD
RKT
WBD
ULTA
TSCO
TROW
RBLX
SBAC
AWK
SYM
BR
WY
WAB
FITB
GRMN
HWM
APTV
RJF
MTB
EQR
ILMN
NVR
BNTX
PHM
TW
STT
FCNCA
BRO
OWL
BLDR
DTE
ALNY
SE
CCL
STE
HEI
PTC
VRT
ICLR
EBAY
ARE
ETR
FE
WRB
ROL
DOV
FLT
EXPE
MBLY
MOH
UWMC
JBHT
IFF
ALGN
LYV
VRSN
INVH
HPE
STLD
MKL
TDY
IRM
ZM
GPC
BAX
SIRI
WBA
TSN
DRI
DECK
PPL
TRGP
ES
WMG
VLTO
LH
PFG
WAT
K
CTRA
VTR
AXON
CHKP
AKAM
WDC
COO
HBAN
EXPD
STX
AEE
BAH
MKC
FDS
DKNG
LPLA
ERIE
CLX
HUBB
NTAP
OMC
LUV
TYL
WLK
ENTG
CNP
BALL
HOLX
CINF
ATO
RF
J
RPRX
IOT
DT
SWKS
EG
CMS
HRL
TXT
BMRN
RS
NTRS
L
SUI
AVY
EPAM
IEX
JBL
CE
AVTR
SYF
BAM
FSLR
BBY
FWONK
CNHI
CRBG
ESS
AER
WSO
TPG
SNA
CSL
CFG
LII
LDOS
MAA
MAS
SSNC
GDDY
GEN
FOXA
MANH
BSY
MGM
DPZ
PKG
LW
TER
VST
RIVN
GGG
EQT
BIP
AMH
DGX
CG
CF
NDSN
POOL
SWK
ENPH
NWSA
VTRS
YUMC
VFS
BEN
SJM
CAG
FNF
APP
HST
RPM
NBIX
OKTA
NTNX
AMCR
KEY
KIM
UAL
WPC
OC
ALB
XP
TRU
MRO
TAP
PODD
Z
CPB
H
ELS
RVTY
INCY
PATH
UHAL
BG
UDR
TWLO
BURL
LECO
TRMB
PSTG
IPG
ROKU
LNT
LKQ
DOCU
WSM
IP
U
ZBRA
AZPN
ACI
AFRM
GLPI
DKS
PNR
JKHY
NRG
RNR
GRAB
ACM
SAIA
CNA
MORN
KRTX
AGR
JNPR
EXAS
BAP
BLD
GL
EVRG
ESTC
REG
LBRDK
CELH
AOS
OVV
ARCC
RGA
TFX
REXR
USFD
PFGC
DINO
RYAN
EQH
KMX
TPL
AES
ZI
SRPT
TECH
CRL
ALLY
GTLB
PAYC
WES
ALLE
CDAY
UHS
DOX
PAA
FFIV
COTY
NI
EME
FND
DBX
CCK
LAMR
WYNN
RGEN
X
EWBC
BXP
MTCH
PR
SLV
TOL
WRK
FLEX
HII
PCOR
BRKR
WMS
MNDY
CLF
PEAK
UTHR
AFG
CHK
CASY
MOS
LEGN
CPT
GLOB
NVT
PAG
SCI
ITT
XPO
FIVE
EMN
WTRG
DVA
CHRW
NLY
FBIN
CUBE
CYBR
PARA
PEN
HSIC
QRVO
QGEN
BBWI
SKX
TTC
TOST
APA
CZR
UNM
ARKK
CTLT
AAL
HOOD
RL
BIO
KNX
KNSL
AGCO
GWRE
CLH
CHDN
WSC
MEDP
PCTY
SNX
CHE
TPR
WCC
RRX
ALV
TREX
AIZ
ELF
WEX
INFA
BJ
BIRK
ATR
JEF
FTI
VIPS
TPX
MKTX
CNM
WBS
CW
TTEK
ONON
MTN
STVN
JLL
RHI
THC
LSCC
TXRH
FRT
SWAV
BILL
SEIC
MSTR
HLI
WWD
WING
HESM
EGP
PRI
IMGN
AMKR
LAD
COKE
OLED
ROIV
LBTYA
S
FN
NYT
RBC
ETSY
BWA
FHN
GPK
ONTO
NTRA
APG
DLB
ORI
GNTX
APPF
COLD
PNW
EXP
FIX
DCI
LEA
LCID
JAZZ
SSD
CHWY
NOV
CIEN
CYTK
CACI
CVNA
SOFI
ARMK
CERE
UI
TX
BERY
ACHC
NCLH
MIDD
VOYA
DUOL
RGLD
MUSA
APLS
IEP
BWXT
SF
EDR
GMED
AU
IONS
RMBS
XRAY
NNN
ASND
AYI
OHI
ELAN
WIX
BRBR
LNW
OSK
COHR
PVH
AXTA
SITE
EHC
MKSI
IVZ
GNRC
SWN
ALTR
CFLT
CR
KBR
FR
INGR
UFPI
FMC
RRC
WAL
QLYS
CMA
GPS
DAR
LSTR
TKO
STAG
CART
PSN
AIT
MASI
NFE
CFR
FCN
DV
CACC
YNDX
PCVX
TAL
HAS
PNFP
CBSH
CIVI
EXEL
YMM
BRX
SPSC
HRB
AR
KVYO
OGE
SAIC
GXO
MHK
CCCS
WTS
AGNC
SSB
STWD
RHP
FRSH
NXT
MTDR
FUTU
G
SN
MSA
HQY
ITCI
LEVI
EVR
WH
WFRD
PPC
FLR
VFC
ENSG
MAT
SIGI
CHRD
HLNE
SUM
DDS
OLN
FAF
INSP
NE
RLI
CGNX
MTSI
BYD
ZION
GLBE
PBF
BPOP
CROX
HR
SMAR
CMC
CLVT
FYBR
ADT
MMYT
MTH
CHH
NXST
THO
LFUS
WHR
ARW
NSIT
ADC
AAON
PB
SRC
PLNT
BBIO
WTFC
AN
CAR
W
FOUR
MUR
CNXC
ESNT
OMF
ATKR
FSK
TKR
OBDC
TNET
REYN
BFAM
CPRI
VNO
FG
AZEK
POST
TMHC
HXL
SON
MSM
VNOM
BC
IBP
NOVT
OPCH
SNV
FIVN
ENLC
TENB
BOKF
MTG
ST
MLI
BCC
ALSN
FTAI
STNE
BRZE
ESI
NEU
CHX
VNT
CAVA
AA
AMR
BECN
ATI
IMVT
BXSL
FLS
DTM
IGT
WK
ESAB
FCFS
MTZ
RITM
CWAN
EXLS
ANF
ZWS
SFM
OZK
TRNO
FRO
DRS
NSA
DNB
PII
AXS
LANC
R
AMG
M
DOCS
CRSP
SUN
ALGM
SEE
GTLS
GBTG
MMS
CWST
ALIT
FNB
TXG
BLCO
LYFT
FRHC
SLGN
VRNS
VLY
BROS
CADE
KRG
UBSI
BPMC
ONB
ASO
FLO
AIRC
VVV
LPX
FSS
COLM
AL
JHG
CWEN
ASH
PWSC
THG
ALKS
HOMB
VMI
KD
NUVL
IDA
PSNY
NYCB
MDC
DLO
LNC
KEX
AGO
PECO
UGI
PTEN
RH
EXPO
BCPC
EEFT
SPXC
IPGP
WU
QDEL
RYN
ACT
RVMD
AUR
MMSI
KBH
HOG
ALK
TDC
VAL
HGV
IRDM
CC
FELE
HALO
MOG-A
FFIN
IPAR
AWI
SRCL
RDN
OLLI
MSGS
RIG
ETRN
SIG
SQSP
ASGN
SLM
AEL
SAM
BLKB
PFSI
GATX
COOP
GME
PRGO
GKOS
NFG
SNDR
FIZZ
SM
IAC
ABG
RCM
NSP
GBCI
HCP
ESGR
MDGL
HUN
MGY
POWI
AXSM
ACLS
OGN
ACAD
GOLF
KRC
BMI
DXC
COLB
NVMI
SWX
ALVO
SYNA
HRI
CRUS
SHC
PEGA
FRPT
POR
TEX
MRTX
PAGS
FUL
ASAN
AVT
DAVA
WOLF
CPA
CAAP
WTM
NVST
CRVL
CVLT
HHH
UMBF
CBT
NJR
JXN
HP
AAP
INSM
VRRM
ARWR
MDU
GT
MARA
SKY
WEN
SLAB
LOPE
AEO
MATX
ORA
GPI
EPRT
HWC
AEIS
SGRY
ESMT
HAE
PAGP
ENS
KMPR
YETI
ACA
JOBY
MC
MAIN
STEP
SEDG
USM
SMPL
OTTR
STNG
CCOI
AB
PJT
TFSL
BOX
RYZB
VERX
KNF
MAC
LITE
APLE
IRTC
SFBS
PGNY
FOLD
BCO
AZTA
WIRE
RLJ
RARE
MAN
MOD
BL
IMCR
BHVN
INST
NCNO
LNTH
BGC
TDW
PCH
MHO
RUSHA
FLNC
URBN
BKH
WDFC
LBRT
BTU
CAMT
CUZ
CNS
PYCR
AXNX
NWL
BSM
SPT
AYX
ABCB
ALE
PENN
CXM
KWR
MLCO
FROG
LAZ
XENE
OGS
GTES
BXMT
NEOG
AVAV
CVI
IRT
RPD
EVH
ITGR
NOG
STR
TPH
GMS
MLTX
KAI
HCC
SANM
EPR
QS
SEM
BHF
CXT
CRDO
ASB
AVNT
ARCH
KTB
UAA
CSWI
ITRI
IBOC
NARI
DY
GHC
CRC
ACIW
HI
MQ
UCBI
NNI
NPO
WNS
WD
JOE
IQ
TDOC
FORM
ACLX
DBRG
VC
ENOV
TSEM
AX
SHAK
RRR
SMG
SPR
SWTX
RNG
RELY
CBZ
UNF
ADNT
PK
PNM
SEAS
MANU
BNL
RUN
JBT
IDYA
IART
KRYS
SHOO
CNX
AMED
ZD
LEG
DIOD
BDC
SBRA
JJSF
CABO
KFY
MGRC
PIPR
TGNA
SRAD
DFH
PBH
ZGN
CNO
OLK
CRS
DOC
ALRM
DOCN
COUR
NOMD
JWN
SR
FHI
VSH
INTA
SVV
YELP
GEF
TRIP
CATY
GFF
VAC
AI
GSHD
NWE
CNMD
CEIX
TNL
SLG
BANF
YOU
BRC
ARCB
SKT
APAM
IOSP
TCBI
HUBG
AIN
FIBK
RLX
KSS
WOR
KLIC
TMDX
OSCR
ESRT
FBP
LCII
VSTS
MP
AMN
ENV
SITC
NEP
KOS
CRI
NS
GNW
LGIH
WHD
FHB
VSAT
PDCO
CVCO
AWR
CCS
CSTM
FTRE
SMMT
PLTK
FOXF
HELE
CALM
HGTY
UPST
IDCC
DEI
WSFS
PLUG
HASI
VIRT
HAYW
FULT
ARLP
LXP
CBAY
GH
HTZ
FL
EVTC
AVA
ABM
FSLY
ESE
PI
INSW
LIVN
SXT
ICFI
HTGC
IIPR
CWT
LTH
CARG
FTDR
MCW
RYTM
ARCO
BMBL
PTVE
PLXS
GBDC
LRN
FLYW
ALG
RCKT
NMIH
PINC
RAMP
CERT
DORM
DNA
AUB
AMPH
AROC
BE
BATRK
BOH
RDNT
WERN
ABR
QTWO
PRGS
CTRE
HIW
RNW
EBC
ROCK
GO
TGTX
NMRK
USAC
REZI
CBU
CRNX
GDRX
RXO
PPBI
MODG
GPOR
SPB
SITM
VKTX
MTRN
PZZA
PSEC
INDB
PGTI
MYRG
ROAD
AGL
CWK
APPN
ATAT
PRVA
SFNC
FA
NABL
PRFT
GRBK
RKLB
HL
LGF-A
ALKT
ODD
PRCT
CVBF
JAMF
MGEE
THS
TBBK
PSMT
STRL
BLMN
NHI
UP
IAS
STRA
OPEN
CENT
AGYS
GLNG
ARVN
AMK
NMRA
PATK
XRX
ENR
LFST
OI
IBRX
CPK
RIOT
DNUT
SHLS
SOVO
AY
AVDX
VCTR
MCY
IRWD
PARR
DNLI
ICUI
AMBP
TGLS
ATEC
SHO
VIAV
CALX
INTR
KTOS
OSIS
SKYW
PD
CORT
CRK
BOOT
GTX
TDS
TROX
AIR
PLAY
DRVN
FCPT
OUT
ROG
MWA
CPE
NTLA
FFBC
MTX
TNK
GOGL
UE
PAX
AMBA
VCEL
SIX
TOWN
SIMO
IONQ
BKU
ACVA
OII
SBCF
UDMY
FRME
FUN
JBI
VYX
ZETA
VSCO
MRUS
SNEX
MIR
TRN
TALO
TGH
HTH
DKL
EQC
PLUS
RXRX
AGM
ARDX
NAVI
GPCR
SWI
DOOR
LVWR
SLVM
PTON
ARRY
CMPR
INMD
SCL
IBTX
ROVR
BEAM
LAUR
CRGY
ATGE
GVA
IOVA
SPNT
PTCT
XPRO
GNL
PAY
HEES
DAN
KMT
KYMR
ODP
HURN
LZ
MLKN
MYGN
SONO
DRH
CLDX
WGO
RUM
EXPI
SDGR
SJW
NWTN
TSLX
HNI
NEO
EAT
MBIN
CLBK
VCYT
BKE
TWST
VRNT
MGPI
UPWK
WAFD
YY
EPC
ATMU
MPW
KNTK
WLY
AKR
HRMY
AFYA
EVCM
PEB
ANDE
VECO
PLAB
SBLK
HIMS
KGS
DFIN
UPBD
DHT
BFH
MLNK
CLBT
MBC
STGW
RNST
JBLU
TNC
NWLI
MRCY
SXI
HPK
EXTR
PRIM
GETY
FBK
CAKE
WSBC
PACB
SNDX
AESI
OFG
DK
AAT
CBRL
SAH
HLMN
UCTT
ROIC
LKFN
MXL
VRTS
CNXN
OCSL
PAYO
CPRX
EPAC
RC
STC
CNK
CUBI
B
SSTK
IVT
NBTB
VICR
SFL
DVAX
EVEX
NVEE
CODI
EE
GSBD
IESC
SEMR
TRMK
TFIN
AMRX
ARHS
BOWL
WMK
VGR
RXST
VSTO
COMP
CMTG
ENVA
GCMG
LOB
FLNG
GIC
TARO
CXW
ATRC
VTLE
PRTA
IMKTA
BANR
GLP
MSGE
AZZ
PRO
CTOS
IRON
JELD
CLSK
NATL
RES
THRM
NGVT
ARI
MORF
HBI
NWBI
KRP
ENVX
SGHC
FOR
EFSC
AMEH
SABR
XMTR
VRE
AMPL
SAGE
HOLI
FIHL
ABCL
JBGS
VTEX
NTCT
JACK
SPNS
KAR
LPG
GRND
CHCO
HTLF
COHU
PCRX
SUPN
AMWD
OMI
XHR
MRTN
HMN
WRBY
DSGR
CSGS
TWKS
LZB
NVCR
EYE
TNDM
DAC
OXM
PLMR
XPEL
USLM
OLPX
KN
ALGT
GEO
CRTO
OMCL
MMI
NTB
SYBT
GTY
LILAK
MRVI
KW
GBX
ACHR
NTST
SCS
BRP
PTGX
UTZ
LNN
CNNE
ADUS
HLX
FCF
CSIQ
HE
UVV
TTMI
FBNC
AVPT
GEL
PHIN
SAFE
TBLA
PRG
GENI
FWRD
HWKN
PERI
LADR
USPH
TLRY
VZIO
GIII
ZIP
STAA
HLIO
OSW
WKC
NWN
JKS
KFRC
FINV
STEL
GPRE
HOPE
CASH
IHS
OEC
NBHC
HLIT
MCRI
KEN
CRSR
ZUO
NMFC
NEXT
TR
BUSE
AVDL
LMAT
LTC
SVC
NOVA
UFPT
STER
TWO
ALEX
CTS
NSSC
CDRE
SRCE
PAR
PMT
STBA
WABC
ELME
ALHC
VIR
AGIO
CMRE
ACDC
WINA
UNIT
PFS
DO
DMLP
KNSA
SKWD
MIRM
SAFT
LUMN
CLMT
MGNI
VVX
TCBK
SEAT
FDP
ANGI
GES
SHCO
BLTE
HLF
PDFS
PRDO
DQ
DEA
NIC
CARS
ETWO
SCHL
CRCT
VBTX
CHGG
GOGO
XNCR
RCUS
TRUP
PGRE
COCO
MOMO
CWH
AUPH
LMND
PX
AGRO
CIM
BCRX
ECVT
DOLE
AMRC
MNTK
CDE
MDRX
NVTS
NAPA
AMC
SRRK
BVH
MSEX
AHCO
INDI
FIGS
WALD
CVAC
HSAI
OPK
SAVE
